Node,Full_Depth,Max_depth(SWMM),basement flooding
100100,35.0,3.43,0
100200,35.0,6.01,0
100300,35.0,4.52,0
11521,25.5,25.5,1
11523,29.265,29.27,1
11R-2,22.84,0.27,0
11R-3,20.78,0.69,0
11R-4,20.06,0.72,0
11R-5,19.75,0.78,0
11R-6,19.06,0.94,0
11R-7A,18.35,1.05,0
11R-7B,18.35,18.35,1
11R-9,17.97,16.97,1
13,30.829,23.69,1
16475,32.81,13.88,0
16741-1,9.97,23.34,1
16741-2,13.5,4.02,0
16742-1,21.9,97.0,1
1795-11,63.0,80.5,1
1795-12,63.0,80.5,1
1795-13,63.0,80.5,1
19-55,16.6,0.37,0
20310,33.71,29.32,1
20315,23.52,23.52,1
20316,23.18,23.18,1
20317,25.73,23.02,1
20318,29.0,23.0,1
20319,16.0,13.45,1
21285_1_OMID,61.0,0.41,0
21285_2_OMID,37.2,0.27,0
22-55,16.5,0.6,0
23015_2_OMID,23.47,0.25,0
23016_1_OMID,51.01,0.37,0
23091_1_OMID,41.1,0.76,0
23117_OMID,38.2,0.69,0
23118_OMID,27.2,0.36,0
23213_OMID,26.4,0.17,0
23214_OMID,37.2,0.27,0
23901_2_OMID,31.4,0.44,0
26A-55,13.9,0.93,0
2909-03,7.47,0.97,1
29910,7.24,5.01,1
29934,6.91,0.89,1
29942,9.93,9.93,1
29944,8.06,8.06,1
29946,9.19,9.19,1
29948,10.12,10.12,1
29-95,16.5,0.99,0
29950,9.06,9.06,1
29952,10.16,10.16,1
29954,10.87,10.87,1
29958,13.22,13.22,1
29960,13.62,13.62,1
3005,28.86,25.95,1
3205,33.7,33.7,1
3210,38.0,38.02,1
3511,27.58,1.72,0
3512,24.87,1.65,0
3513,21.26,2.8,0
3514,20.98,4.31,0
3516,24.0,7.36,0
3517,22.66,6.03,0
3518,28.0,7.54,0
3521,33.3,6.54,0
35215,35.53,8.76,0
3526,28.62,12.23,0
35263,31.03,4.73,0
3527,36.37,10.23,0
3528,37.95,11.79,0
3528_A,32.98,11.97,0
3529,27.6,13.87,0
3529_A,26.6,14.07,0
3531,35.71,11.97,0
3532,36.62,10.08,0
3533,36.64,8.8,0
3534,29.39,7.57,0
3536,23.98,6.27,0
3537,30.27,5.66,0
3541,31.12,4.92,0
3542,31.03,12.83,0
3544,31.1,4.88,0
35441,24.45,5.73,0
3545,25.13,6.7,0
3546,23.85,6.12,0
3547,32.44,5.51,0
3548,41.13,5.21,0
3549,32.51,8.29,0
3551,27.73,7.26,0
3552,18.35,6.62,0
3553,22.87,6.14,0
35-95,16.4,0.73,0
3600,33.82,20.03,0
36009,29.21,21.83,1
3601,28.0,16.46,0
36011,28.0,16.46,0
36013,28.0,7.66,0
36015,28.0,7.66,0
36017,22.0,0.0,0
36018,22.0,0.0,0
36019,21.0,0.0,0
36020,22.0,0.34,0
37801-01,36.0,1.54,0
37801-02,41.0,1.3,0
43,27.69,16.17,0
5215,26.0,19.64,1
5215-01,89.5,89.47,1
5215-02,89.5,89.47,1
5215-03,89.5,89.47,1
5215-04,89.5,89.47,1
5215-05,89.5,89.47,1
5215-06,89.5,89.47,1
5215-07,89.5,89.47,1
5215-08,89.5,85.75,1
5216,90.5,121.64,1
5217,90.5,124.53,1
5218,90.5,115.29,1
5219,90.5,86.75,1
5219-01,90.5,113.72,1
5219-02,90.5,127.95,1
5219-03,90.5,128.34,1
5219-04,90.5,120.78,1
5220-01,90.5,143.9,1
5220-02,90.5,103.17,1
5726-05,47.5,18.25,0
5731-1,63.0,0.0,0
5731-2,63.0,0.0,0
5731-3,63.0,0.0,0
5731-4,63.0,56.0,1
5732-1,64.0,0.0,0
5732-2,64.0,0.0,0
5732-3,64.0,0.0,0
5732-4,64.0,31.21,0
6015,40.9,40.91,1
6035,47.06,31.37,0
6035-01,39.85,6.74,0
810_OAK,39.41,39.41,1
8DR-10,34.38,34.38,1
8DR-12,35.7,34.4,1
8DR-13,35.2,35.2,1
8DR-15,34.65,34.65,1
8DR-17,34.52,34.52,1
8DR-18,35.52,35.52,1
8DR-19,33.91,33.91,1
8DR-20,34.0,34.0,1
8DR-21,33.0,33.0,1
8DR-22,32.38,32.38,1
8DR-25,34.07,33.34,1
8DR-31,29.93,29.93,1
