Node,Max Depth (ft)
100100,3.4328666143168363
100200,6.005189863030948
100300,4.516499862509482
11521,25.50222023663872
11523,29.269825967480585
11R-2,0.3829926985942028
11R-3,0.8756558357520481
11R-4,0.9361275194714821
11R-5,1.0007228297568056
11R-6,1.118170231435713
11R-7A,1.1510292031875071
11R-7B,18.35
11R-9,17.621980634658286
13,20.722921033921192
16475,20.80939260378398
16741-1,11.613216812331267
16741-2,3.998960753777481
16742-1,96.8740919398916
1795-11,80.5
1795-12,80.5
1795-13,80.5
19-55,0.36699867809051484
20310,33.7099
20315,23.02089664028552
20316,23.1799
20317,25.669509135568045
20318,25.651352040537624
20319,16.0001
21285_1_OMID,0.40530777728769407
21285_2_OMID,0.27037226718543217
22-55,0.5988589453123423
23015_2_OMID,0.2518837531237761
23016_1_OMID,0.3701119832376419
23091_1_OMID,0.7624661065739842
23117_OMID,0.690034265283
23118_OMID,0.3631811138506065
23213_OMID,0.17147597926573982
23214_OMID,0.26909880619662696
23901_2_OMID,0.43848869572439986
26A-55,0.9345943307354094
2909-03,0.9715182646472925
29910,6.354461471247381
29934,0.8764777448877145
29942,9.93
29944,8.06
29946,9.19
29948,10.12
29-95,0.9893759345054549
29950,9.06
29952,10.16
29954,10.87
29958,13.22
29960,13.62
3005,28.86
3205,33.7
3210,38.022611587321165
3511,1.717392332734704
3512,1.6506569712411228
3513,2.797580287945057
3514,4.308549017056565
3516,7.362515304732147
3517,6.032226250973906
3518,7.537727951637816
3521,6.538237222357179
35215,8.755741200879918
3526,12.228624569162305
35263,4.709742526540545
3527,10.231287277889068
3528,11.786622691852038
3528_A,11.940201124493587
3529,13.85063189978667
3529_A,14.051810319584165
3531,11.951771958672953
3532,10.063601894570233
3533,8.784830979234826
3534,7.5507821326461055
3536,6.251089638188814
3537,5.6435591927738535
3541,4.898836537309068
3542,12.32457073011068
3544,4.864610591003092
35441,5.710660741211907
3545,6.680191438358403
3546,6.105623604228931
3547,5.49503385004663
3548,5.1864130416251495
3549,8.178737643267944
3551,7.18118188954317
3552,6.606943544776097
3553,6.13019907875232
35-95,0.7334902387142473
3600,23.95028141461621
36009,24.94838304929629
3601,15.957545522522153
36011,15.957545522522153
36013,7.637245914652925
36015,7.637245914652925
36017,0.0
36018,0.0
36019,0.0
36020,0.33384526738333675
37801-01,1.538041322173322
37801-02,1.2981567578651596
43,17.855273803407673
5215,19.62144714917426
5215-01,89.4701234752061
5215-02,89.4701234752061
5215-03,89.4701234752061
5215-04,89.4701234752061
5215-05,89.4701234752061
5215-06,89.4701234752061
5215-07,89.4701234752061
5215-08,85.75
5216,119.06805282559738
5217,124.36784222521
5218,122.9108907748891
5219,86.75
5219-01,127.5681776339412
5219-02,120.84612734094222
5219-03,125.04115840930184
5219-04,128.5254643533701
5220-01,140.02433739875647
5220-02,103.28162894207175
5726-05,18.24653434753418
5731-1,0.0
5731-2,0.0
5731-3,0.0
5731-4,56.000099182128906
5732-1,0.0
5732-2,0.0
5732-3,0.0
5732-4,31.20923614501953
6015,40.90689016180839
6035,46.953835224404784
6035-01,7.420152997341126
810_OAK,39.40989999999999
8DR-10,29.459853484904645
8DR-12,29.58137043169194
8DR-13,35.2
8DR-15,34.65
8DR-17,34.52
8DR-18,35.52
8DR-19,30.918028249971016
8DR-20,31.178437010921257
8DR-21,32.08018323519353
8DR-22,32.38
8DR-25,33.37416995250615
8DR-31,29.93
8DR-32,31.88
8DR-38,28.12616010630385
8DR-40,27.99283350235113
8DR-41,27.87093724766231
8DR-42,27.77139563837838
8DR-44,27.84780840313239
8DR-44A,27.9
8DR-45,27.85
8DR-46,27.495
8DR-47,28.33642490744206
8DR-48,28.584465054480305
8DR-49,28.866648580699355
8DR-5,30.247472625475567
8DR-50,29.04951384092248
8DR-51,29.21230763525686
8DR-52,29.306380430696237
8DR-53,29.44119580956258
8DR-54,29.518297210550827
8DR-55,29.52281901957579
8DR-56,29.510730612192205
8DR-57,29.484103651090447
8DR-59,28.482287527221917
8DR-6,29.086412936289012
8DR-60,28.382209256510546
8DR-61,28.301069842031183
8DR-63,28.2123560652549
8DR-64,28.278479627889954
8DR-65,27.57861833350561
8DR-66,27.34142461568121
8DR-67,27.11895078845148
8DR-7,29.18943301066145
8DR-8,29.32699592916626
9MD-10,11.55
9MD-11,12.31
9MD-12,13.07
9MD-13,12.83
9MD-14,11.46986668494331
9MD-15,11.59038688342826
9MD-16,11.737523125212794
9MD-17,11.835754712124603
9MD-18,11.93791726654088
9MD-19,11.992933489641603
9MD-2,10.37
9MD-20,12.07761690012541
9MD-21,12.153361263815606
9MD-22,12.193877467588013
9MD-23,12.230354337471415
9MD-24-1A,12.19542068637543
9MD-25,14.107119779951638
9MD-26,14.724036901857751
9MD-29,16.631415143671575
9MD-3,10.29
9MD-30,16.434760614296877
9MD-31,16.22
9MD-32,17.16163223662448
9MD-33,18.343805918056972
9MD-34,19.422889508175352
9MD-34A,19.72077646644135
9MD-34B,20.0
9MD-35,20.274778799107914
9MD-35A,20.553762841186227
9MD-35B,20.749436724746435
9MD-36,20.884782008213513
9MD-36A,20.941270465946367
9MD-37,20.98667239627229
9MD-38,20.953234547598072
9MD-38A,21.296542249395934
9MD-38B,21.722127305388227
9MD-38C,22.13839019909741
9MD-39,22.46241577811829
9MD-39A,22.71831360282339
9MD-4,10.05
9MD-40,23.992331164345295
9MD-41,24.62
9MD-42,26.44
9MD-42A,25.3
9MD-43,29.0
9MD-44,30.48
9MD-45,29.32
9MD-46,33.36
9MD-47,33.5
9MD-48,32.42
9MD-49,33.54
9MD-5,10.81
9MD-50,33.78
9MD-51,33.74
9MD-52,33.86
9MD-53,34.41
9MD-6,10.57
9MD-7,10.33
9MD-8,10.09
9MD-9,10.85
AP3421,11.196908871361861
AP3422,0.9613451757677425
BBC010,18.37795431367537
BBC010_2,18.389087024404656
BBC0C8,20.395441796354156
BBC0C8_2,20.332851225548115
BBCA10,19.756845005046678
BBCA10_2,19.72141257596084
