,Name,ID,rep_0
0,4000_OAK,4359352,1
1,7Mile_DewateringPump,4359353,1
2,8MileRdPump#1,4359354,1
3,8MileRdPump#2,4359355,1
4,8MileRdPump#3,4359356,1
5,8MileRdPump#4,4359357,1
6,8MileRdPump#5,4359358,1
7,AcaciaDummyPump,4359359,1
8,BelleIsleSanPump,4359360,1
9,BelleIsleStormPump1,4359361,1
10,BelleIsleStormPump2,4359362,1
11,BH_SanPump1,4359363,1
12,BH_SanPump2,4359364,1
13,BH_StormPump1,4359365,1
14,BH_StormPump2,4359366,1
15,BH_StormPump3,4359367,1
16,BH_StormPump4,4359368,0
17,BirminghamDummyPump,4359369,1
18,BloomfieldDummyPump,4359370,1
19,BonHeur1,4359371,1
20,BonHeur2,4359372,1
21,BonHeur3,4359373,1
22,BonHeur4,4359374,1
23,CC_Dewater1,4359375,1
24,CC_Dewater2,4359376,1
25,CC_Dewater3,4359377,1
26,CC_Dewater4,4359378,1
27,ChapatonIntermediateP2,4359379,1
28,ChapatonIntermediateP3,4359380,1
29,ChapatonSanitaryP1,4359381,1
30,ChapatonStorm1,4359382,1
31,ChapatonStorm2,4359383,1
32,ChapatonStorm3,4359384,1
33,CON-PMP-1,4359385,0
34,CON-PMP-10,4359386,0
35,CON-PMP-11,4359387,1
36,CON-PMP-12,4359388,1
37,CON-PMP-2,4359389,1
38,CON-PMP-3,4359390,1
39,CON-PMP-4,4359391,0
40,CON-PMP-5,4359392,0
41,CON-PMP-6,4359393,1
42,CON-PMP-7,4359394,1
43,CON-PMP-8,4359395,1
44,CON-PMP-9,4359396,1
45,DN_C4_Dewatering,4359397,1
46,DN_C6_Dewater,4359398,1
47,DN_C7_Dewatering,4359399,1
48,DN_C8_Dewatering,4359400,1
49,DN_GreenfieldPS,4359401,1
50,DN_Miller_Rd_PS,4359402,1
51,DN_Palmer1,4359403,1
52,DN_Palmer2,4359404,1
53,DN_Palmer3,4359405,1
54,FA-S-1,4359406,1
55,FischerPump1,4359407,1
56,FischerPump2,4359408,1
57,FP1,4359409,1
58,FRE-PMP-1,4359410,0
59,FRE-PMP-10,4359411,1
60,FRE-PMP-2,4359412,0
61,FRE-PMP-3,4359413,1
62,FRE-PMP-4,4359414,0
63,FRE-PMP-5,4359415,1
64,FRE-PMP-6,4359416,0
65,FRE-PMP-7,4359417,1
66,FRE-PMP-8,4359418,0
67,FRE-PMP-9,4359419,1
68,FVSanPump1,4359420,1
69,FVSanPump2,4359421,1
70,FVSanPump3,4359422,1
71,FVSanPump4,4359423,1
72,GM_Discharge,4359424,1
73,GPS-CookRoadPS,4359425,1
74,GWK_PUMP1@8206-4100,4359426,1
75,GWK_PUMP4@82061-4140,4359427,1
76,Hoffman1,4359428,1
77,Hoffman2,4359429,1
78,Hoffman3,4359430,1
79,HS_DewaterPump,4359431,1
80,HW_PumptoBlackMarsh,4359432,1
81,Kerby1,4359433,1
82,Kerby2,4359434,1
83,Kerby3,4359435,1
84,Kerby4,4359436,1
85,Kerby5,4359437,1
86,LathrupDewateringPump6,4359438,1
87,LathrupDewateringPump7,4359439,1
88,LathrupDewateringPump8,4359440,1
89,LathrupInfluentPumps,4359441,1
90,LeibDewaterPS,4359442,1
91,MarterPump1,4359443,1
92,MarterPump2,4359444,1
93,Mayflower1,4359445,1
94,Mayflower2,4359446,1
95,Mayflower3,4359447,1
96,MDOT_PumpI375Monroe,4359448,1
